Episode: 76 | Reward: 16.0 | Q Loss: 0.7010818123817444 | Steps: 1847
Episode: 77 | Reward: 55.0 | Q Loss: 0.6962699294090271 | Steps: 1902
Episode: 78 | Reward: 14.0 | Q Loss: 0.693697452545166 | Steps: 1916
Episode: 79 | Reward: 12.0 | Q Loss: 0.6932238340377808 | Steps: 1928
Episode: 80 | Reward: 17.0 | Q Loss: 0.6967761516571045 | Steps: 1945
Episode: 81 | Reward: 12.0 | Q Loss: 0.6988911628723145 | Steps: 1957
Episode: 82 | Reward: 22.0 | Q Loss: 0.7125475406646729 | Steps: 1979
Episode: 83 | Reward: 25.0 | Q Loss: 0.7015576958656311 | Steps: 2004
Episode: 84 | Reward: 15.0 | Q Loss: 0.6986134648323059 | Steps: 2019
Episode: 85 | Reward: 19.0 | Q Loss: 0.6970486640930176 | Steps: 2038
Episode: 86 | Reward: 15.0 | Q Loss: 0.7304807305335999 | Steps: 2053
Episode: 87 | Reward: 19.0 | Q Loss: 0.6868489384651184 | Steps: 2072
Episode: 88 | Reward: 15.0 | Q Loss: 0.6967073678970337 | Steps: 2087
Episode: 89 | Reward: 12.0 | Q Loss: 0.694193959236145 | Steps: 2099
Episode: 90 | Reward: 11.0 | Q Loss: 0.696276068687439 | Steps: 2110
Episode: 91 | Reward: 17.0 | Q Loss: 0.7287185192108154 | Steps: 2127
Episode: 92 | Reward: 10.0 | Q Loss: 0.700619101524353 | Steps: 2137
Episode: 93 | Reward: 28.0 | Q Loss: 0.6924283504486084 | Steps: 2165
Episode: 94 | Reward: 19.0 | Q Loss: 0.7029550075531006 | Steps: 2184
Episode: 95 | Reward: 13.0 | Q Loss: 0.70216965675354 | Steps: 2197
Episode: 96 | Reward: 10.0 | Q Loss: 0.7069301009178162 | Steps: 2207
Episode: 97 | Reward: 12.0 | Q Loss: 0.713792085647583 | Steps: 2219
Episode: 98 | Reward: 12.0 | Q Loss: 0.6950414776802063 | Steps: 2231
Episode: 99 | Reward: 13.0 | Q Loss: 0.7205084562301636 | Steps: 2244
Episode: 100 | Reward: 13.0 | Q Loss: 0.7031964659690857 | Steps: 2257
Episode: 101 | Reward: 11.0 | Q Loss: 0.697003185749054 | Steps: 2268
Episode: 102 | Reward: 13.0 | Q Loss: 0.7075340151786804 | Steps: 2281
Episode: 103 | Reward: 16.0 | Q Loss: 0.6963953971862793 | Steps: 2297
Episode: 104 | Reward: 10.0 | Q Loss: 0.699122965335846 | Steps: 2307
Episode: 105 | Reward: 15.0 | Q Loss: 0.6915119290351868 | Steps: 2322
Episode: 106 | Reward: 31.0 | Q Loss: 0.7087605595588684 | Steps: 2353
Episode: 107 | Reward: 36.0 | Q Loss: 0.6992641091346741 | Steps: 2389
Episode: 108 | Reward: 22.0 | Q Loss: 0.7074345946311951 | Steps: 2411
Episode: 109 | Reward: 15.0 | Q Loss: 0.7064989805221558 | Steps: 2426
Episode: 110 | Reward: 25.0 | Q Loss: 0.7115434408187866 | Steps: 2451
Episode: 111 | Reward: 25.0 | Q Loss: 0.6983449459075928 | Steps: 2476
Episode: 112 | Reward: 21.0 | Q Loss: 0.6933762431144714 | Steps: 2497
Episode: 113 | Reward: 15.0 | Q Loss: 0.6996307373046875 | Steps: 2512
Episode: 114 | Reward: 18.0 | Q Loss: 0.697526216506958 | Steps: 2530
Episode: 115 | Reward: 30.0 | Q Loss: 0.7105289101600647 | Steps: 2560
Episode: 116 | Reward: 23.0 | Q Loss: 0.7090397477149963 | Steps: 2583
Episode: 117 | Reward: 13.0 | Q Loss: 0.6902836561203003 | Steps: 2596
Episode: 118 | Reward: 14.0 | Q Loss: 0.7036963701248169 | Steps: 2610
Episode: 119 | Reward: 12.0 | Q Loss: 0.7035585045814514 | Steps: 2622
Episode: 120 | Reward: 13.0 | Q Loss: 0.7098475098609924 | Steps: 2635
Episode: 121 | Reward: 42.0 | Q Loss: 0.7106000185012817 | Steps: 2677
Episode: 122 | Reward: 11.0 | Q Loss: 0.7041069269180298 | Steps: 2688
Episode: 123 | Reward: 57.0 | Q Loss: 0.7159034609794617 | Steps: 2745
Episode: 124 | Reward: 18.0 | Q Loss: 0.7038075923919678 | Steps: 2763
Episode: 125 | Reward: 17.0 | Q Loss: 0.7121767997741699 | Steps: 2780
Episode: 126 | Reward: 11.0 | Q Loss: 0.6960482597351074 | Steps: 2791
Episode: 127 | Reward: 14.0 | Q Loss: 0.7019138932228088 | Steps: 2805
Episode: 128 | Reward: 11.0 | Q Loss: 0.6994365453720093 | Steps: 2816
Episode: 129 | Reward: 43.0 | Q Loss: 0.715541422367096 | Steps: 2859
Episode: 130 | Reward: 20.0 | Q Loss: 0.6958257555961609 | Steps: 2879
Episode: 131 | Reward: 17.0 | Q Loss: 0.7053152322769165 | Steps: 2896
Episode: 132 | Reward: 55.0 | Q Loss: 0.7038442492485046 | Steps: 2951
Episode: 133 | Reward: 17.0 | Q Loss: 0.7294474244117737 | Steps: 2968
Episode: 134 | Reward: 50.0 | Q Loss: 0.697211503982544 | Steps: 3018
Episode: 135 | Reward: 42.0 | Q Loss: 0.6890888810157776 | Steps: 3060
Episode: 136 | Reward: 32.0 | Q Loss: 0.711567759513855 | Steps: 3092
Episode: 137 | Reward: 18.0 | Q Loss: 0.7071237564086914 | Steps: 3110
Episode: 138 | Reward: 15.0 | Q Loss: 0.7080339789390564 | Steps: 3125
Episode: 139 | Reward: 23.0 | Q Loss: 0.6989551782608032 | Steps: 3148
Episode: 140 | Reward: 17.0 | Q Loss: 0.6954905390739441 | Steps: 3165
Episode: 141 | Reward: 20.0 | Q Loss: 0.7477098703384399 | Steps: 3185
Episode: 142 | Reward: 33.0 | Q Loss: 0.7067409753799438 | Steps: 3218
Episode: 143 | Reward: 10.0 | Q Loss: 0.7294110655784607 | Steps: 3228
Episode: 144 | Reward: 12.0 | Q Loss: 0.696083128452301 | Steps: 3240
Episode: 145 | Reward: 23.0 | Q Loss: 0.7137764096260071 | Steps: 3263
Episode: 146 | Reward: 10.0 | Q Loss: 0.7144856452941895 | Steps: 3273
Episode: 147 | Reward: 32.0 | Q Loss: 0.721177875995636 | Steps: 3305
Episode: 148 | Reward: 22.0 | Q Loss: 0.704500675201416 | Steps: 3327
Episode: 149 | Reward: 61.0 | Q Loss: 0.7169008255004883 | Steps: 3388
Episode: 150 | Reward: 14.0 | Q Loss: 0.7354026436805725 | Steps: 3402
Episode: 151 | Reward: 26.0 | Q Loss: 0.7090291976928711 | Steps: 3428
Episode: 152 | Reward: 11.0 | Q Loss: 0.7222496271133423 | Steps: 3439
Episode: 153 | Reward: 16.0 | Q Loss: 0.7032842636108398 | Steps: 3455
Episode: 154 | Reward: 10.0 | Q Loss: 0.697732150554657 | Steps: 3465
Episode: 155 | Reward: 17.0 | Q Loss: 0.7071611881256104 | Steps: 3482
Episode: 156 | Reward: 28.0 | Q Loss: 0.6992349624633789 | Steps: 3510
Episode: 157 | Reward: 42.0 | Q Loss: 0.7026278972625732 | Steps: 3552
Episode: 158 | Reward: 13.0 | Q Loss: 0.7098257541656494 | Steps: 3565
Episode: 159 | Reward: 19.0 | Q Loss: 0.7013452053070068 | Steps: 3584
Episode: 160 | Reward: 9.0 | Q Loss: 0.71091628074646 | Steps: 3593
Episode: 161 | Reward: 16.0 | Q Loss: 0.7509473562240601 | Steps: 3609
Episode: 162 | Reward: 19.0 | Q Loss: 0.689667820930481 | Steps: 3628
Episode: 163 | Reward: 15.0 | Q Loss: 0.7022863626480103 | Steps: 3643
Episode: 164 | Reward: 10.0 | Q Loss: 0.6860864162445068 | Steps: 3653
Episode: 165 | Reward: 38.0 | Q Loss: 0.726793646812439 | Steps: 3691
Episode: 166 | Reward: 14.0 | Q Loss: 0.7558140158653259 | Steps: 3705
Episode: 167 | Reward: 25.0 | Q Loss: 0.7127215266227722 | Steps: 3730
Episode: 168 | Reward: 14.0 | Q Loss: 0.7377529740333557 | Steps: 3744
Episode: 169 | Reward: 19.0 | Q Loss: 0.6886496543884277 | Steps: 3763
Episode: 170 | Reward: 11.0 | Q Loss: 0.7120333909988403 | Steps: 3774
Episode: 171 | Reward: 41.0 | Q Loss: 0.7201563715934753 | Steps: 3815
Episode: 172 | Reward: 31.0 | Q Loss: 0.7170934081077576 | Steps: 3846
Episode: 173 | Reward: 28.0 | Q Loss: 0.7320179343223572 | Steps: 3874
Episode: 174 | Reward: 9.0 | Q Loss: 0.7117401957511902 | Steps: 3883
Episode: 175 | Reward: 11.0 | Q Loss: 0.7069762349128723 | Steps: 3894
Episode: 176 | Reward: 21.0 | Q Loss: 0.7056390047073364 | Steps: 3915
Episode: 177 | Reward: 42.0 | Q Loss: 0.7106743454933167 | Steps: 3957
Episode: 178 | Reward: 14.0 | Q Loss: 0.7244032621383667 | Steps: 3971
Episode: 179 | Reward: 18.0 | Q Loss: 0.7014694213867188 | Steps: 3989
Episode: 180 | Reward: 25.0 | Q Loss: 0.7411987781524658 | Steps: 4014
Episode: 181 | Reward: 16.0 | Q Loss: 0.7133675217628479 | Steps: 4030
Episode: 182 | Reward: 61.0 | Q Loss: 0.6979066133499146 | Steps: 4091
Episode: 183 | Reward: 17.0 | Q Loss: 0.7030715942382812 | Steps: 4108
Episode: 184 | Reward: 45.0 | Q Loss: 0.7406249046325684 | Steps: 4153
Episode: 185 | Reward: 13.0 | Q Loss: 0.7010384798049927 | Steps: 4166
Episode: 186 | Reward: 38.0 | Q Loss: 0.7249610424041748 | Steps: 4204
Episode: 187 | Reward: 19.0 | Q Loss: 0.7044349312782288 | Steps: 4223
Episode: 188 | Reward: 25.0 | Q Loss: 0.7153642177581787 | Steps: 4248
Episode: 189 | Reward: 25.0 | Q Loss: 0.7066184878349304 | Steps: 4273
Episode: 190 | Reward: 41.0 | Q Loss: 0.729371190071106 | Steps: 4314
Episode: 191 | Reward: 23.0 | Q Loss: 0.7239305973052979 | Steps: 4337
Episode: 192 | Reward: 13.0 | Q Loss: 0.7048997282981873 | Steps: 4350
Episode: 193 | Reward: 13.0 | Q Loss: 0.7362486720085144 | Steps: 4363
Episode: 194 | Reward: 18.0 | Q Loss: 0.6942383050918579 | Steps: 4381
Episode: 195 | Reward: 24.0 | Q Loss: 0.696294367313385 | Steps: 4405
Episode: 196 | Reward: 18.0 | Q Loss: 0.7007242441177368 | Steps: 4423
Episode: 197 | Reward: 13.0 | Q Loss: 0.7216547131538391 | Steps: 4436
Episode: 198 | Reward: 13.0 | Q Loss: 0.7081173062324524 | Steps: 4449
Episode: 199 | Reward: 40.0 | Q Loss: 0.6986988186836243 | Steps: 4489
Episode: 200 | Reward: 55.0 | Q Loss: 0.7319517731666565 | Steps: 4544
Episode: 201 | Reward: 16.0 | Q Loss: 0.714836835861206 | Steps: 4560
Episode: 202 | Reward: 14.0 | Q Loss: 0.7715279459953308 | Steps: 4574
Episode: 203 | Reward: 11.0 | Q Loss: 0.7261587977409363 | Steps: 4585
Episode: 204 | Reward: 16.0 | Q Loss: 0.7075676918029785 | Steps: 4601
Episode: 205 | Reward: 39.0 | Q Loss: 0.7122252583503723 | Steps: 4640
Episode: 206 | Reward: 21.0 | Q Loss: 0.6832062602043152 | Steps: 4661
Episode: 207 | Reward: 11.0 | Q Loss: 0.7181835174560547 | Steps: 4672
Episode: 208 | Reward: 10.0 | Q Loss: 0.7427259087562561 | Steps: 4682
Episode: 209 | Reward: 55.0 | Q Loss: 0.7031843066215515 | Steps: 4737
Episode: 210 | Reward: 55.0 | Q Loss: 0.7282803058624268 | Steps: 4792
Episode: 211 | Reward: 18.0 | Q Loss: 0.7230525016784668 | Steps: 4810
Episode: 212 | Reward: 46.0 | Q Loss: 0.7160562872886658 | Steps: 4856
Episode: 213 | Reward: 57.0 | Q Loss: 0.7192402482032776 | Steps: 4913
Episode: 214 | Reward: 12.0 | Q Loss: 0.7089747190475464 | Steps: 4925
Episode: 215 | Reward: 26.0 | Q Loss: 0.709821343421936 | Steps: 4951
Episode: 216 | Reward: 28.0 | Q Loss: 0.6989739537239075 | Steps: 4979
Episode: 217 | Reward: 62.0 | Q Loss: 0.723073422908783 | Steps: 5041
Episode: 218 | Reward: 27.0 | Q Loss: 0.7005462646484375 | Steps: 5068
Episode: 219 | Reward: 19.0 | Q Loss: 0.7101857662200928 | Steps: 5087
Episode: 220 | Reward: 40.0 | Q Loss: 0.7185982465744019 | Steps: 5127
Episode: 221 | Reward: 32.0 | Q Loss: 0.7151260375976562 | Steps: 5159
Episode: 222 | Reward: 63.0 | Q Loss: 0.7289353609085083 | Steps: 5222
Episode: 223 | Reward: 21.0 | Q Loss: 0.8191264271736145 | Steps: 5243
Episode: 224 | Reward: 50.0 | Q Loss: 0.7081682682037354 | Steps: 5293
Episode: 225 | Reward: 14.0 | Q Loss: 0.7634394764900208 | Steps: 5307
Episode: 226 | Reward: 52.0 | Q Loss: 0.7320604920387268 | Steps: 5359
Episode: 227 | Reward: 51.0 | Q Loss: 0.7217383980751038 | Steps: 5410
Episode: 228 | Reward: 49.0 | Q Loss: 0.7130593061447144 | Steps: 5459
Episode: 229 | Reward: 31.0 | Q Loss: 0.7496506571769714 | Steps: 5490
Episode: 230 | Reward: 37.0 | Q Loss: 0.6891363263130188 | Steps: 5527
Episode: 231 | Reward: 15.0 | Q Loss: 0.7289578914642334 | Steps: 5542
Episode: 232 | Reward: 13.0 | Q Loss: 0.7123447060585022 | Steps: 5555
Episode: 233 | Reward: 51.0 | Q Loss: 0.7645618915557861 | Steps: 5606
Episode: 234 | Reward: 21.0 | Q Loss: 0.6631797552108765 | Steps: 5627
Episode: 235 | Reward: 50.0 | Q Loss: 0.7156826257705688 | Steps: 5677
Episode: 236 | Reward: 55.0 | Q Loss: 0.7200846076011658 | Steps: 5732
Episode: 237 | Reward: 86.0 | Q Loss: 0.756868302822113 | Steps: 5818
Episode: 238 | Reward: 55.0 | Q Loss: 0.6890490055084229 | Steps: 5873
Episode: 239 | Reward: 18.0 | Q Loss: 0.7230008244514465 | Steps: 5891
Episode: 240 | Reward: 44.0 | Q Loss: 0.7017802596092224 | Steps: 5935
Episode: 241 | Reward: 91.0 | Q Loss: 0.7043676376342773 | Steps: 6026
Episode: 242 | Reward: 43.0 | Q Loss: 0.683854877948761 | Steps: 6069
Episode: 243 | Reward: 51.0 | Q Loss: 0.7411081790924072 | Steps: 6120
Episode: 244 | Reward: 29.0 | Q Loss: 0.6810270547866821 | Steps: 6149
Episode: 245 | Reward: 57.0 | Q Loss: 0.7170423269271851 | Steps: 6206
Episode: 246 | Reward: 28.0 | Q Loss: 0.6904165148735046 | Steps: 6234
Episode: 247 | Reward: 11.0 | Q Loss: 0.7816442251205444 | Steps: 6245
Episode: 248 | Reward: 46.0 | Q Loss: 0.6849679946899414 | Steps: 6291
Episode: 249 | Reward: 21.0 | Q Loss: 0.7819843888282776 | Steps: 6312
Episode: 250 | Reward: 25.0 | Q Loss: 0.7456729412078857 | Steps: 6337
Episode: 251 | Reward: 76.0 | Q Loss: 0.7064750790596008 | Steps: 6413
Episode: 252 | Reward: 74.0 | Q Loss: 0.6842218637466431 | Steps: 6487
Episode: 253 | Reward: 33.0 | Q Loss: 0.7494730353355408 | Steps: 6520
Episode: 254 | Reward: 20.0 | Q Loss: 0.7796635031700134 | Steps: 6540
Episode: 255 | Reward: 28.0 | Q Loss: 0.7156194448471069 | Steps: 6568
Episode: 256 | Reward: 119.0 | Q Loss: 0.6856910586357117 | Steps: 6687
Episode: 257 | Reward: 95.0 | Q Loss: 0.7471575736999512 | Steps: 6782
Episode: 258 | Reward: 73.0 | Q Loss: 0.7104922533035278 | Steps: 6855
Episode: 259 | Reward: 62.0 | Q Loss: 0.7315511107444763 | Steps: 6917
Episode: 260 | Reward: 73.0 | Q Loss: 0.7009355425834656 | Steps: 6990
Episode: 261 | Reward: 40.0 | Q Loss: 0.7277994751930237 | Steps: 7030
Episode: 262 | Reward: 66.0 | Q Loss: 0.7149217128753662 | Steps: 7096
Episode: 263 | Reward: 48.0 | Q Loss: 0.704123854637146 | Steps: 7144
Episode: 264 | Reward: 20.0 | Q Loss: 0.7255837321281433 | Steps: 7164
Episode: 265 | Reward: 70.0 | Q Loss: 0.7275818586349487 | Steps: 7234
