Episode: 76 | Reward: 24.0 | Q Loss: 0.6854328513145447 | Steps: 1529
Episode: 77 | Reward: 14.0 | Q Loss: 0.6966858506202698 | Steps: 1543
Episode: 78 | Reward: 26.0 | Q Loss: 0.7083588242530823 | Steps: 1569
Episode: 79 | Reward: 15.0 | Q Loss: 0.6962960362434387 | Steps: 1584
Episode: 80 | Reward: 11.0 | Q Loss: 0.6982387900352478 | Steps: 1595
Episode: 81 | Reward: 42.0 | Q Loss: 0.7127302885055542 | Steps: 1637
Episode: 82 | Reward: 16.0 | Q Loss: 0.7008296251296997 | Steps: 1653
Episode: 83 | Reward: 46.0 | Q Loss: 0.705133318901062 | Steps: 1699
Episode: 84 | Reward: 18.0 | Q Loss: 0.7089036703109741 | Steps: 1717
Episode: 85 | Reward: 45.0 | Q Loss: 0.6990761160850525 | Steps: 1762
Episode: 86 | Reward: 15.0 | Q Loss: 0.703529417514801 | Steps: 1777
Episode: 87 | Reward: 23.0 | Q Loss: 0.7026492357254028 | Steps: 1800
Episode: 88 | Reward: 10.0 | Q Loss: 0.7103467583656311 | Steps: 1810
Episode: 89 | Reward: 16.0 | Q Loss: 0.6910749077796936 | Steps: 1826
Episode: 90 | Reward: 26.0 | Q Loss: 0.6953949332237244 | Steps: 1852
Episode: 91 | Reward: 13.0 | Q Loss: 0.6930590271949768 | Steps: 1865
Episode: 92 | Reward: 33.0 | Q Loss: 0.6987932324409485 | Steps: 1898
Episode: 93 | Reward: 26.0 | Q Loss: 0.6932671070098877 | Steps: 1924
Episode: 94 | Reward: 21.0 | Q Loss: 0.7057003378868103 | Steps: 1945
Episode: 95 | Reward: 20.0 | Q Loss: 0.7088994383811951 | Steps: 1965
Episode: 96 | Reward: 17.0 | Q Loss: 0.7150726318359375 | Steps: 1982
Episode: 97 | Reward: 40.0 | Q Loss: 0.6944138407707214 | Steps: 2022
Episode: 98 | Reward: 11.0 | Q Loss: 0.6992209553718567 | Steps: 2033
Episode: 99 | Reward: 26.0 | Q Loss: 0.7003004550933838 | Steps: 2059
Episode: 100 | Reward: 11.0 | Q Loss: 0.695746660232544 | Steps: 2070
Episode: 101 | Reward: 17.0 | Q Loss: 0.7047274112701416 | Steps: 2087
Episode: 102 | Reward: 23.0 | Q Loss: 0.718007504940033 | Steps: 2110
Episode: 103 | Reward: 15.0 | Q Loss: 0.7027459740638733 | Steps: 2125
Episode: 104 | Reward: 10.0 | Q Loss: 0.7224059104919434 | Steps: 2135
Episode: 105 | Reward: 21.0 | Q Loss: 0.7098416090011597 | Steps: 2156
Episode: 106 | Reward: 10.0 | Q Loss: 0.7108728885650635 | Steps: 2166
Episode: 107 | Reward: 16.0 | Q Loss: 0.7057538032531738 | Steps: 2182
Episode: 108 | Reward: 16.0 | Q Loss: 0.7063391208648682 | Steps: 2198
Episode: 109 | Reward: 12.0 | Q Loss: 0.7187521457672119 | Steps: 2210
Episode: 110 | Reward: 43.0 | Q Loss: 0.7052327990531921 | Steps: 2253
Episode: 111 | Reward: 25.0 | Q Loss: 0.6927609443664551 | Steps: 2278
Episode: 112 | Reward: 23.0 | Q Loss: 0.689866840839386 | Steps: 2301
Episode: 113 | Reward: 12.0 | Q Loss: 0.7097858786582947 | Steps: 2313
Episode: 114 | Reward: 11.0 | Q Loss: 0.7095537185668945 | Steps: 2324
Episode: 115 | Reward: 24.0 | Q Loss: 0.6973013281822205 | Steps: 2348
Episode: 116 | Reward: 11.0 | Q Loss: 0.711736261844635 | Steps: 2359
Episode: 117 | Reward: 8.0 | Q Loss: 0.7285909056663513 | Steps: 2367
Episode: 118 | Reward: 12.0 | Q Loss: 0.7006170153617859 | Steps: 2379
Episode: 119 | Reward: 13.0 | Q Loss: 0.6965537071228027 | Steps: 2392
Episode: 120 | Reward: 16.0 | Q Loss: 0.7097303867340088 | Steps: 2408
Episode: 121 | Reward: 18.0 | Q Loss: 0.7047125101089478 | Steps: 2426
Episode: 122 | Reward: 24.0 | Q Loss: 0.716682493686676 | Steps: 2450
Episode: 123 | Reward: 25.0 | Q Loss: 0.7029153108596802 | Steps: 2475
Episode: 124 | Reward: 23.0 | Q Loss: 0.7100300788879395 | Steps: 2498
Episode: 125 | Reward: 24.0 | Q Loss: 0.7052170634269714 | Steps: 2522
Episode: 126 | Reward: 15.0 | Q Loss: 0.6943863034248352 | Steps: 2537
Episode: 127 | Reward: 21.0 | Q Loss: 0.7041900753974915 | Steps: 2558
Episode: 128 | Reward: 14.0 | Q Loss: 0.6981382966041565 | Steps: 2572
Episode: 129 | Reward: 38.0 | Q Loss: 0.7227175831794739 | Steps: 2610
Episode: 130 | Reward: 40.0 | Q Loss: 0.7081557512283325 | Steps: 2650
Episode: 131 | Reward: 11.0 | Q Loss: 0.6985110640525818 | Steps: 2661
Episode: 132 | Reward: 11.0 | Q Loss: 0.7206651568412781 | Steps: 2672
Episode: 133 | Reward: 15.0 | Q Loss: 0.6948018670082092 | Steps: 2687
Episode: 134 | Reward: 25.0 | Q Loss: 0.7350620031356812 | Steps: 2712
Episode: 135 | Reward: 19.0 | Q Loss: 0.7103995084762573 | Steps: 2731
Episode: 136 | Reward: 42.0 | Q Loss: 0.7323087453842163 | Steps: 2773
Episode: 137 | Reward: 51.0 | Q Loss: 0.6934824585914612 | Steps: 2824
Episode: 138 | Reward: 24.0 | Q Loss: 0.7065941095352173 | Steps: 2848
Episode: 139 | Reward: 29.0 | Q Loss: 0.7024308443069458 | Steps: 2877
Episode: 140 | Reward: 13.0 | Q Loss: 0.7115328311920166 | Steps: 2890
Episode: 141 | Reward: 30.0 | Q Loss: 0.7373490333557129 | Steps: 2920
Episode: 142 | Reward: 21.0 | Q Loss: 0.7169324159622192 | Steps: 2941
Episode: 143 | Reward: 33.0 | Q Loss: 0.6896829605102539 | Steps: 2974
Episode: 144 | Reward: 12.0 | Q Loss: 0.7129640579223633 | Steps: 2986
Episode: 145 | Reward: 23.0 | Q Loss: 0.7302982211112976 | Steps: 3009
Episode: 146 | Reward: 14.0 | Q Loss: 0.7157531380653381 | Steps: 3023
Episode: 147 | Reward: 16.0 | Q Loss: 0.7001935839653015 | Steps: 3039
Episode: 148 | Reward: 21.0 | Q Loss: 0.7109671235084534 | Steps: 3060
Episode: 149 | Reward: 16.0 | Q Loss: 0.7205603122711182 | Steps: 3076
Episode: 150 | Reward: 25.0 | Q Loss: 0.7002629041671753 | Steps: 3101
Episode: 151 | Reward: 11.0 | Q Loss: 0.7190719246864319 | Steps: 3112
Episode: 152 | Reward: 21.0 | Q Loss: 0.7298824787139893 | Steps: 3133
Episode: 153 | Reward: 10.0 | Q Loss: 0.717668890953064 | Steps: 3143
Episode: 154 | Reward: 15.0 | Q Loss: 0.7075014114379883 | Steps: 3158
Episode: 155 | Reward: 11.0 | Q Loss: 0.6960657238960266 | Steps: 3169
Episode: 156 | Reward: 28.0 | Q Loss: 0.7115681171417236 | Steps: 3197
Episode: 157 | Reward: 18.0 | Q Loss: 0.708713710308075 | Steps: 3215
Episode: 158 | Reward: 26.0 | Q Loss: 0.7141872644424438 | Steps: 3241
Episode: 159 | Reward: 14.0 | Q Loss: 0.6872150301933289 | Steps: 3255
Episode: 160 | Reward: 16.0 | Q Loss: 0.7128741145133972 | Steps: 3271
Episode: 161 | Reward: 26.0 | Q Loss: 0.722416877746582 | Steps: 3297
Episode: 162 | Reward: 27.0 | Q Loss: 0.7098759412765503 | Steps: 3324
Episode: 163 | Reward: 15.0 | Q Loss: 0.7020701766014099 | Steps: 3339
Episode: 164 | Reward: 13.0 | Q Loss: 0.6934015154838562 | Steps: 3352
