Episode: 76 | Reward: 43.0 | Q Loss: 0.7220110297203064 | Steps: 1680
Episode: 77 | Reward: 13.0 | Q Loss: 0.7065588235855103 | Steps: 1693
Episode: 78 | Reward: 11.0 | Q Loss: 0.7172644734382629 | Steps: 1704
Episode: 79 | Reward: 25.0 | Q Loss: 0.7063198089599609 | Steps: 1729
Episode: 80 | Reward: 28.0 | Q Loss: 0.6895937919616699 | Steps: 1757
Episode: 81 | Reward: 12.0 | Q Loss: 0.7167869806289673 | Steps: 1769
Episode: 82 | Reward: 19.0 | Q Loss: 0.6984648704528809 | Steps: 1788
Episode: 83 | Reward: 31.0 | Q Loss: 0.7023486495018005 | Steps: 1819
Episode: 84 | Reward: 20.0 | Q Loss: 0.701490044593811 | Steps: 1839
Episode: 85 | Reward: 17.0 | Q Loss: 0.6920388340950012 | Steps: 1856
Episode: 86 | Reward: 16.0 | Q Loss: 0.7118096947669983 | Steps: 1872
Episode: 87 | Reward: 18.0 | Q Loss: 0.7023329734802246 | Steps: 1890
Episode: 88 | Reward: 19.0 | Q Loss: 0.7001094818115234 | Steps: 1909
Episode: 89 | Reward: 21.0 | Q Loss: 0.7063055038452148 | Steps: 1930
Episode: 90 | Reward: 14.0 | Q Loss: 0.7074742317199707 | Steps: 1944
Episode: 91 | Reward: 16.0 | Q Loss: 0.6789990067481995 | Steps: 1960
Episode: 92 | Reward: 12.0 | Q Loss: 0.6998221278190613 | Steps: 1972
Episode: 93 | Reward: 10.0 | Q Loss: 0.6987699270248413 | Steps: 1982
Episode: 94 | Reward: 28.0 | Q Loss: 0.7189568281173706 | Steps: 2010
Episode: 95 | Reward: 16.0 | Q Loss: 0.6902390122413635 | Steps: 2026
Episode: 96 | Reward: 10.0 | Q Loss: 0.6960493922233582 | Steps: 2036
Episode: 97 | Reward: 13.0 | Q Loss: 0.7031281590461731 | Steps: 2049
Episode: 98 | Reward: 16.0 | Q Loss: 0.6932172179222107 | Steps: 2065
Episode: 99 | Reward: 21.0 | Q Loss: 0.6912541389465332 | Steps: 2086
Episode: 100 | Reward: 23.0 | Q Loss: 0.7053027153015137 | Steps: 2109
Episode: 101 | Reward: 31.0 | Q Loss: 0.6896660327911377 | Steps: 2140
Episode: 102 | Reward: 14.0 | Q Loss: 0.7018619775772095 | Steps: 2154
Episode: 103 | Reward: 21.0 | Q Loss: 0.7297300696372986 | Steps: 2175
Episode: 104 | Reward: 20.0 | Q Loss: 0.6848811507225037 | Steps: 2195
Episode: 105 | Reward: 32.0 | Q Loss: 0.7004103660583496 | Steps: 2227
Episode: 106 | Reward: 16.0 | Q Loss: 0.7025794386863708 | Steps: 2243
Episode: 107 | Reward: 12.0 | Q Loss: 0.6980217695236206 | Steps: 2255
Episode: 108 | Reward: 17.0 | Q Loss: 0.7026368975639343 | Steps: 2272
Episode: 109 | Reward: 52.0 | Q Loss: 0.716013491153717 | Steps: 2324
Episode: 110 | Reward: 25.0 | Q Loss: 0.6814353466033936 | Steps: 2349
Episode: 111 | Reward: 12.0 | Q Loss: 0.7011870741844177 | Steps: 2361
Episode: 112 | Reward: 12.0 | Q Loss: 0.7035358548164368 | Steps: 2373
Episode: 113 | Reward: 37.0 | Q Loss: 0.7023687362670898 | Steps: 2410
Episode: 114 | Reward: 12.0 | Q Loss: 0.7052341103553772 | Steps: 2422
Episode: 115 | Reward: 12.0 | Q Loss: 0.7305858135223389 | Steps: 2434
Episode: 116 | Reward: 10.0 | Q Loss: 0.7352507710456848 | Steps: 2444
Episode: 117 | Reward: 30.0 | Q Loss: 0.6797980666160583 | Steps: 2474
Episode: 118 | Reward: 19.0 | Q Loss: 0.7084254622459412 | Steps: 2493
